text,label
"Wall Street bears claw back into spotlight",0
"Germany's Merkel pushes for stronger EU borders",1
"New MacBook Airs to launch next month",2
"Champions League final set to draw millions",3
"US economy grows at 2.3% in Q2",0
"France to boost police presence after protests",1
"Google announces new AI model",2
"Messi scores a hat-trick in comeback win",3
"Stocks rally as inflation fears ease",0
"UK introduces new cybersecurity strategy",1
"Stock markets surge on strong earnings",2
"NASA unveils new moon mission timeline",3
"Premier League: Arsenal wins in extra time",1
"UN holds emergency session on Middle East conflict",0
"Apple releases new MacBook with M3 chip",3
"Google faces antitrust probe in EU",2
"NBA Finals: Lakers tie series 2-2",1
"Japan and South Korea strengthen diplomatic ties",0
"Oil prices rise amid global uncertainty",2
"SpaceX launches 60 new Starlink satellites",3
"US and China resume trade negotiations",0
"Facebook parent Meta sees profits soar",2
"Champions League: Real Madrid advances to final",1
"Global climate talks stall at UN summit",0
"Amazon expands cloud services in Asia",2
"Tesla announces major battery breakthrough",3
"Ronaldo scores twice in Juventus victory",1
"World leaders gather for G20 summit",0
"Netflix shares drop after weak subscriber growth",2
"Scientists discover new species in the Amazon",3
"Ukraine war: NATO pledges continued support",0
"Stocks fall as inflation concerns rise",2
"AI breakthrough could revolutionize healthcare",3
"Barcelona clinches La Liga title",1
"India, Pakistan agree to ceasefire",0
"Microsoft acquires cybersecurity startup",3
"US Open: Serena Williams advances to semis",1
"China launches new weather satellite",3
"FTSE 100 gains on mining stock rally",2
"France holds election amid protests",0
"Intel reveals next-gen chip architecture",3
"NFL: Chiefs defeat Bengals in close game",1
"Germany warns of energy crisis",0
"Amazon faces labor complaints in US",2
"New vaccine shows promise in early trials",3
"FIFA World Cup qualifiers heat up",1
"US, allies impose sanctions on Iran",0
"Dow Jones rises 300 points",2
"Climate activists protest oil pipelines",0
"Google unveils AI-powered translation tool",3
"Liverpool defeats Chelsea in penalty shootout",1
"Russia, China conduct joint military drills",0
"Apple to invest $1B in India",2
"Tech giants form alliance on data privacy",3
"NBA Draft: Top prospects announced",1
"UN warns of worsening humanitarian crisis",0
"Gold prices climb as dollar weakens",2
"New telescope captures distant galaxies",3
"Cricket: India beats Australia by 7 wickets",1
"Canada, US reach border security deal",0
"Twitter stock drops after Musk comments",2
"NASA tests asteroid defense system",3
"Messi signs contract extension with PSG",1
"EU debates immigration reforms",0
"Oil firms report record quarterly profits",2
"Scientists develop eco-friendly plastic",3
"Premier League: Man City remains on top",1
"South Korea elects new president",0
"Bitcoin falls below $30,000",2
"Breakthrough in quantum computing",3
"Wimbledon: Djokovic advances to final",1
"Middle East peace talks resume in Cairo",0
"Fed raises interest rates again",2
"Researchers test flying car prototype",3
"Real Madrid wins Super Cup",1
"Israel launches airstrikes in Gaza",0
"Amazon Prime adds new features",2
"NASA's Artemis mission delayed",3
"Argentina beats Brazil in Copa America",1
"Russia denies involvement in cyberattack",0
"Elon Musk teases new Tesla Roadster",2
"Scientists decode whale communication",3
"UEFA bans club from tournament",1
"US and Canada sign trade pact",0
"Meta to launch new social platform",2
"New AI model beats doctors at diagnosis",3
"IPL: Mumbai Indians dominate Delhi Capitals",1
"World Bank warns of recession risk",0
"Bitcoin mining impacts environment",2
"Tech firms develop foldable screens",3
"FIFA: New rules on player transfers",1
"China warns of economic slowdown",0
"Apple Watch gains new health features",3
"Rugby World Cup qualifiers begin",1
"Japan expands military budget",0
"Stock market ends week flat",2
"Breakthrough in cancer treatment",3
"Messi and Ronaldo may play final match together",1
"UNICEF warns of child hunger crisis",0
"Samsung announces Galaxy Fold 4",3
"England defeats Germany in penalty shootout",1
"EU imposes carbon tax on imports",0
